transaction_id,date,store,store_city,customer_id,age,gender,nationality,loyalty_tier,loyalty_points,product_category,product_subcategory,quantity,unit_price,total_amount,payment_method,ad_campaign,ad_category,ad_budget_spend
T0001,2025-09-01,Al Barsha,Dubai,C001,28,F,India,Gold,1200,Grocery,Bakery,2,15.50,31.00,Credit Card,Back to School,Clothing,1200
T0002,2025-09-01,Abu Dhabi Mall,Abu Dhabi,C002,45,M,UAE,Silver,400,Clothing,Women Dresses,1,89.99,89.99,Cash,September Sale,Clothing,3000
T0003,2025-09-02,Sharjah City,Sharjah,C003,33,F,Philippines,Gold,900,Electronics,Headphones,1,59.99,59.99,Card,Audio Promo,Electronic,5000
T0004,2025-09-02,Al Barsha,Dubai,C004,22,M,India,Bronze,60,Grocery,Fresh Produce,5,3.40,17.00,Cash,Weekly Fresh,Grocery,800
T0005,2025-09-03,Al Ain,Al Ain,C005,39,F,Sri Lanka,Silver,520,Clothing,Men Shirts,2,25.00,50.00,Credit Card,Corporate Offer,Clothing,1500
T0006,2025-09-03,Abu Dhabi Mall,Abu Dhabi,C006,55,M,UAE,Platinum,2500,Electronics,Smartphone,1,499.00,499.00,Card,New Launch,Electronic,12000
T0007,2025-09-04,Al Barsha,Dubai,C001,28,F,India,Gold,1210,Grocery,Beverages,6,2.50,15.00,Credit Card,Back to School,Grocery,1200
T0008,2025-09-04,Sharjah City,Sharjah,C007,19,F,Jordan,Bronze,30,Clothing,Accessories,1,12.00,12.00,Cash,Student Discount,Clothing,400
T0009,2025-09-05,Al Ain,Al Ain,C008,46,M,Philippines,Silver,600,Electronics,TV,1,799.00,799.00,Card,TV Fest,Electronic,15000
T0010,2025-09-05,Al Barsha,Dubai,C009,31,M,India,Gold,1100,Grocery,Household,3,10.00,30.00,Card,Home Essentials,Grocery,1000
T0011,2025-09-06,Abu Dhabi Mall,Abu Dhabi,C010,27,F,Nepal,Silver,480,Clothing,Women Tops,2,29.99,59.98,Card,September Sale,Clothing,3000
T0012,2025-09-06,Al Barsha,Dubai,C011,63,M,UAE,Platinum,3200,Grocery,Medicinal,1,9.99,9.99,Cash,Senior Offer,Grocery,700
T0013,2025-09-07,Sharjah City,Sharjah,C012,24,F,India,Bronze,90,Electronics,Power Bank,1,19.50,19.50,Card,Accessories Week,Electronic,600
T0014,2025-09-07,Al Ain,Al Ain,C013,36,M,Pakistan,Silver,540,Grocery,Snacks,4,2.25,9.00,Cash,Snack Promo,Grocery,500
T0015,2025-09-08,Al Barsha,Dubai,C014,41,F,Sri Lanka,Gold,980,Clothing,Men Trousers,1,39.99,39.99,Card,Autumn Collection,Clothing,4000
T0016,2025-09-08,Abu Dhabi Mall,Abu Dhabi,C015,29,M,India,Silver,430,Electronics,Camera,1,299.99,299.99,Card,Photo Week,Electronic,8000
T0017,2025-09-09,Sharjah City,Sharjah,C016,52,F,Sudan,Gold,1300,Grocery,Dairy,2,4.75,9.50,Cash,Daily Dairy,Grocery,900
T0018,2025-09-09,Al Barsha,Dubai,C017,34,M,Philippines,Bronze,75,Clothing,Kids Wear,3,8.50,25.50,Card,Kids Promo,Clothing,1100
T0019,2025-09-10,Al Ain,Al Ain,C018,48,M,India,Silver,600,Electronics,Speaker,1,89.99,89.99,Cash,Audio Promo,Electronic,5000
T0020,2025-09-10,Abu Dhabi Mall,Abu Dhabi,C019,26,F,Jordan,Bronze,40,Grocery,Bakery,2,6.50,13.00,Card,Weekend Treats,Grocery,700
T0021,2025-09-11,Al Barsha,Dubai,C020,37,M,Pakistan,Gold,1005,Clothing,Sportswear,2,45.00,90.00,Card,Sports Week,Clothing,3500
T0022,2025-09-11,Sharjah City,Sharjah,C021,21,F,India,Bronze,25,Electronics,Accessories,2,7.99,15.98,Cash,Student Discount,Electronic,400
T0023,2025-09-12,Al Ain,Al Ain,C022,30,M,Sri Lanka,Silver,470,Grocery,Household,5,6.00,30.00,Card,Home Essentials,Grocery,1000
T0024,2025-09-12,Abu Dhabi Mall,Abu Dhabi,C023,44,F,Philippines,Gold,1100,Clothing,Women Shoes,1,79.99,79.99,Card,September Sale,Clothing,3000
T0025,2025-09-13,Al Barsha,Dubai,C024,58,M,UAE,Platinum,4000,Grocery,Premium Meat,2,25.00,50.00,Cash,Festive Meat,Grocery,2000
T0026,2025-09-13,Sharjah City,Sharjah,C025,32,F,Pakistan,Silver,500,Electronics,Wearable,1,149.99,149.99,Card,Health Tech,Electronic,6000
T0027,2025-09-14,Al Ain,Al Ain,C026,23,M,India,Bronze,55,Clothing,Men Shorts,2,15.00,30.00,Card,Summer Clearout,Clothing,900
T0028,2025-09-14,Al Barsha,Dubai,C027,35,F,Sri Lanka,Gold,950,Grocery,Fresh Produce,6,4.00,24.00,Cash,Weekly Fresh,Grocery,800
T0029,2025-09-15,Abu Dhabi Mall,Abu Dhabi,C028,42,M,India,Silver,460,Electronics,Home Appliance,1,129.99,129.99,Card,Appliance Offer,Electronic,9000
T0030,2025-09-15,Sharjah City,Sharjah,C029,27,F,Jordan,Bronze,20,Grocery,Beverages,2,3.00,6.00,Cash,Weekend Treats,Grocery,700
